0.01 1e-15 1 0.1 -nan
0.02 -nan -nan 0.1 -nan
0.03 -nan -nan 0.1 -nan
0.04 -nan -nan 0.1 -nan
0.05 -nan -nan 0.1 -nan
0.06 -nan -nan 0.1 -nan
0.07 -nan -nan 0.1 -nan
0.08 -nan -nan 0.1 -nan
0.09 -nan -nan 0.1 -nan
0.1 -nan -nan 0.1 -nan
0.11 -nan -nan 0.1 -nan
0.12 -nan -nan 0.1 -nan
0.13 -nan -nan 0.1 -nan
0.14 -nan -nan 0.1 -nan
0.15 -nan -nan 0.1 -nan
0.16 -nan -nan 0.1 -nan
0.17 -nan -nan 0.1 -nan
0.18 -nan -nan 0.1 -nan
0.19 -nan -nan 0.1 -nan
0.2 -nan -nan 0.1 -nan
0.21 -nan -nan 0.1 -nan
0.22 -nan -nan 0.1 -nan
0.23 -nan -nan 0.1 -nan
0.24 -nan -nan 0.1 -nan
0.25 -nan -nan 0.1 -nan
0.26 -nan -nan 0.1 -nan
0.27 -nan -nan 0.1 -nan
0.28 -nan -nan 0.1 -nan
0.29 -nan -nan 0.1 -nan
0.3 -nan -nan 0.1 -nan
0.31 -nan -nan 0.1 -nan
0.32 -nan -nan 0.1 -nan
0.33 -nan -nan 0.1 -nan
0.34 -nan -nan 0.1 -nan
0.35 -nan -nan 0.1 -nan
0.36 -nan -nan 0.1 -nan
0.37 -nan -nan 0.1 -nan
0.38 -nan -nan 0.1 -nan
0.39 -nan -nan 0.1 -nan
0.4 -nan -nan 0.1 -nan
0.41 -nan -nan 0.1 -nan
0.42 -nan -nan 0.1 -nan
0.43 -nan -nan 0.1 -nan
0.44 -nan -nan 0.1 -nan
0.45 -nan -nan 0.1 -nan
0.46 -nan -nan 0.1 -nan
0.47 -nan -nan 0.1 -nan
0.48 -nan -nan 0.1 -nan
0.49 -nan -nan 0.1 -nan
0.5 -nan -nan 0.1 -nan
0.51 -nan -nan 0.1 -nan
0.52 -nan -nan 0.1 -nan
0.53 -nan -nan 0.1 -nan
0.54 -nan -nan 0.1 -nan
0.55 -nan -nan 0.1 -nan
0.56 -nan -nan 0.1 -nan
0.57 -nan -nan 0.1 -nan
0.58 -nan -nan 0.1 -nan
0.59 -nan -nan 0.1 -nan
0.6 -nan -nan 0.1 -nan
0.61 -nan -nan 0.1 -nan
0.62 -nan -nan 0.1 -nan
0.63 -nan -nan 0.1 -nan
0.64 -nan -nan 0.1 -nan
0.65 -nan -nan 0.1 -nan
0.66 -nan -nan 0.1 -nan
0.67 -nan -nan 0.1 -nan
0.68 -nan -nan 0.1 -nan
0.69 -nan -nan 0.1 -nan
0.7 -nan -nan 0.1 -nan
0.71 -nan -nan 0.1 -nan
0.72 -nan -nan 0.1 -nan
0.73 -nan -nan 0.1 -nan
0.74 -nan -nan 0.1 -nan
0.75 -nan -nan 0.1 -nan
0.76 -nan -nan 0.1 -nan
0.77 -nan -nan 0.1 -nan
0.78 -nan -nan 0.1 -nan
0.79 -nan -nan 0.1 -nan
0.8 -nan -nan 0.1 -nan
0.81 -nan -nan 0.1 -nan
0.820000000000001 -nan -nan 0.1 -nan
0.830000000000001 -nan -nan 0.1 -nan
0.840000000000001 -nan -nan 0.1 -nan
0.850000000000001 -nan -nan 0.1 -nan
0.860000000000001 -nan -nan 0.1 -nan
0.870000000000001 -nan -nan 0.1 -nan
0.880000000000001 -nan -nan 0.1 -nan
0.890000000000001 -nan -nan 0.1 -nan
0.900000000000001 -nan -nan 0.1 -nan
0.910000000000001 -nan -nan 0.1 -nan
0.920000000000001 -nan -nan 0.1 -nan
0.930000000000001 -nan -nan 0.1 -nan
0.940000000000001 -nan -nan 0.1 -nan
0.950000000000001 -nan -nan 0.1 -nan
0.960000000000001 -nan -nan 0.1 -nan
0.970000000000001 -nan -nan 0.1 -nan
0.980000000000001 -nan -nan 0.1 -nan
0.990000000000001 -nan -nan 0.1 -nan
1 -nan -nan 0.1 -nan
1.01 -nan -nan 0.1 -nan
1.02 -nan -nan 0.1 -nan
1.03 -nan -nan 0.1 -nan
1.04 -nan -nan 0.1 -nan
1.05 -nan -nan 0.1 -nan
1.06 -nan -nan 0.1 -nan
1.07 -nan -nan 0.1 -nan
1.08 -nan -nan 0.1 -nan
1.09 -nan -nan 0.1 -nan
1.1 -nan -nan 0.1 -nan
1.11 -nan -nan 0.1 -nan
1.12 -nan -nan 0.1 -nan
1.13 -nan -nan 0.1 -nan
1.14 -nan -nan 0.1 -nan
1.15 -nan -nan 0.1 -nan
1.16 -nan -nan 0.1 -nan
1.17 -nan -nan 0.1 -nan
1.18 -nan -nan 0.1 -nan
1.19 -nan -nan 0.1 -nan
1.2 -nan -nan 0.1 -nan
1.21 -nan -nan 0.1 -nan
1.22 -nan -nan 0.1 -nan
1.23 -nan -nan 0.1 -nan
1.24 -nan -nan 0.1 -nan
1.25 -nan -nan 0.1 -nan
1.26 -nan -nan 0.1 -nan
1.27 -nan -nan 0.1 -nan
1.28 -nan -nan 0.1 -nan
1.29 -nan -nan 0.1 -nan
1.3 -nan -nan 0.1 -nan
1.31 -nan -nan 0.1 -nan
1.32 -nan -nan 0.1 -nan
1.33 -nan -nan 0.1 -nan
1.34 -nan -nan 0.1 -nan
1.35 -nan -nan 0.1 -nan
1.36 -nan -nan 0.1 -nan
1.37 -nan -nan 0.1 -nan
1.38 -nan -nan 0.1 -nan
1.39 -nan -nan 0.1 -nan
1.4 -nan -nan 0.1 -nan
1.41 -nan -nan 0.1 -nan
1.42 -nan -nan 0.1 -nan
1.43 -nan -nan 0.1 -nan
1.44 -nan -nan 0.1 -nan
1.45 -nan -nan 0.1 -nan
1.46 -nan -nan 0.1 -nan
1.47 -nan -nan 0.1 -nan
1.48 -nan -nan 0.1 -nan
1.49 -nan -nan 0.1 -nan
1.5 -nan -nan 0.1 -nan
1.51 -nan -nan 0.1 -nan
1.52 -nan -nan 0.1 -nan
1.53 -nan -nan 0.1 -nan
1.54 -nan -nan 0.1 -nan
1.55 -nan -nan 0.1 -nan
1.56 -nan -nan 0.1 -nan
1.57 -nan -nan 0.1 -nan
1.58 -nan -nan 0.1 -nan
1.59 -nan -nan 0.1 -nan
1.6 -nan -nan 0.1 -nan
1.61 -nan -nan 0.1 -nan
1.62 -nan -nan 0.1 -nan
1.63 -nan -nan 0.1 -nan
1.64 -nan -nan 0.1 -nan
1.65 -nan -nan 0.1 -nan
1.66 -nan -nan 0.1 -nan
1.67 -nan -nan 0.1 -nan
1.68 -nan -nan 0.1 -nan
1.69 -nan -nan 0.1 -nan
1.7 -nan -nan 0.1 -nan
1.71 -nan -nan 0.1 -nan
1.72 -nan -nan 0.1 -nan
1.73 -nan -nan 0.1 -nan
1.74 -nan -nan 0.1 -nan
1.75 -nan -nan 0.1 -nan
1.76 -nan -nan 0.1 -nan
1.77 -nan -nan 0.1 -nan
1.78 -nan -nan 0.1 -nan
1.79 -nan -nan 0.1 -nan
1.8 -nan -nan 0.1 -nan
1.81 -nan -nan 0.1 -nan
1.82 -nan -nan 0.1 -nan
1.83 -nan -nan 0.1 -nan
1.84 -nan -nan 0.1 -nan
1.85 -nan -nan 0.1 -nan
1.86 -nan -nan 0.1 -nan
1.87 -nan -nan 0.1 -nan
1.88 -nan -nan 0.1 -nan
1.89 -nan -nan 0.1 -nan
1.9 -nan -nan 0.1 -nan
